"TheSixthSense v1.3 BOM; date 10.08.2015";;;;
;;;;
;;;;
Quantity;Value;Mouser Part Number;Device;Part
1;10-XX;688-SKSCLAE010 ;10-XX;S3
2;PINHD-1X1;538-22-28-8020 ;PINHD-1X1;JP1, JP2
8;0R;667-ERJ-3GEY0R00V ;R-EU_R0603;R13, R19, R22, R25, R28, R31, R34, R37
3;1u;80-C0603C105K8P ;C-EUC0603;C2, C4, C11
2;4k7;667-ERJ-3EKF4701V ;R-EU_R0603;R9, R14
4;4u7;80-C0603C475K8P ;C-EUC0603;C3, C8, C9, C12
23;10k;667-ERJ-3EKF1002V ;R-EU_R0603;R2, R3, R4, R5, R7, R8, R10, R11, R12, R17, R18, R20, R21, R23, R24, R26, R27, R29, R30, R32, R33, R35, R36
4;100R;667-ERJ-3EKF1000V ;R-EU_R0603;R1, R6, R15, R16
2;100n;80-C0603C104K4R ;C-EUC0603;C1, C5
2;220n;80-C0603X224K4R ;C-EUC0603;C6, C7
1;10118193-0001LF;649-10118193-0001LF ;MOLEX-47346-0001;USB1
1;ALPSSSSS811101;688-SSSS811101 ;ALPSSSSS811101;S1
1;ATXMEGA32E5-AU;556-ATXMEGA32E5-AU ;AVR_XMEGA_E;U1
1;F0603E0R25FSTR;581-F0603E0R25FSTR ;PMS1812;F1
1;IRLML 5203;942-IRLML5203TRPBF ;IRLML5203;Q1
2;KPGA-1602CGC-KA;859-LTST-S270KGKT ;APA1606SURCK;U6, U7
1;LSM303D;511-LSM303DTR ;LSM303D;U3
1;MCP1700T-2502E/TT;579-MCP1700T2502E/TT ;XC6206P332MR;U4
1;MCP73831;579-MCP73831T-2ATIOT ;MCP73831;U2
1;MICROMATCH-16SMD;571-8-2178711-6 ;MICROMATCH-16SMD;X1
1;PDTC114YT;771-PDTC114YTT/R ;BC848ALT1SMD;Q2
8;PMEG4010ETR;771-PMEG4010ETR115 ;MBR0520LT;D1, D2, D3, D4, D5, D6, D7, D8
8;Si2302CDS;781-SI2302CDS-E3 ;BSS123;Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10
1;MICROMATCH-16SMD-Plug;571-8-215083-6 ;;
