"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C3";"0.1uF";"CAP0805";"0805";"Capacitor";"";"";
"C4";"100nF";"CAP0805";"0805";"Capacitor";"";"";
"C5";"0.1uF";"CAP0805";"0805";"Capacitor";"";"";
"C6";"0.1uF";"CAP0805";"0805";"Capacitor";"";"";
"C7";"0.1uF";"CAP0805";"0805";"Capacitor";"";"";
"F1";"PTCSMD";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";
"J2";"AVR_SPI_PRG_62X3_LOCK";"AVR_SPI_PRG_62X3_LOCK";"2X3_LOCK";"AVR ISP 6 Pin";"";"";
"JP1";"";"M07LOCK";"1X07_LOCK";"Header 7";"";"";
"JP2";"M10X22X10_LOCK";"M10X22X10_LOCK";"2X10_LOCK";"";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"";"";"";
"PWR";"";"LED0603";"LED-0603";"LEDs";"";"";
"R1";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R4";"1K";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R5";"1K";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R6";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R7";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"RX";"";"LED0603";"LED-0603";"LEDs";"";"";
"S1";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"SWCH-08247";"";
"TX";"";"LED0603";"LED-0603";"LEDs";"";"";
"U1";"ATMEGA328P";"ATMEGA328_SMT";"TQFP32-08";"32-Pin Atmega328 part";"IC-09069";"ATMEGA328P";
"U4";"";"USB-AB"";"USB_AB_MICRO_1:1_V2";"";"";"";
"U6";"FT232RLSSOP";"FT232RLSSOP";"SSOP28DB";"USB UART";"IC-00870";"";
"X1";"";"DB25TE";"TE1734350";"Various DB25 connectors";"";"";
"Y1";"16MHz";"PRQC16.00SR1010V00LSMD";"PRQC16.00SR1010V00L";"";"";"";
