Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,CR2032,
"C1, C10, C13, C19, C2, C27, C29, C36, C37, C4, C40, C44, C6, C7, C8, C9",0805,16,10uF 25V,
"C11, C12, C17, C18, C20, C21, C22, C23, C24, C26, C28, C3, C30, C32, C33, C34, C35, C38, C39, C41, C42, C43, C45, C5",0603,24,100nF 50V,
"C14, C15, C25, C31",0603,4,10pF 50V,
C16,0603,1,680nF 16V,
"D1, D3, D4, D7, D8",0603,5,LED,
D10,WE 150505M173300,1,150505M173300,
D2,D_SOD-123,1,STPS1L40-Y,
D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D6,SOT-23,1,BAT54C,
D9,SOT-23-6,1,ESDA6V1-5SC6,
"FB1, FB2, FB3",0603,3,600R,
"FID1, FID2, FID3",Fiducial_0.75mm_Mask1.5mm,3,Fiducial,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J6",PinSocket_1x20_P2.54mm_Horizontal,2,Conn_01x20_Socket,
J2,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Jack-DC,
J3,PinSocket_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB TYPE C,
J5,WE 693071020811,1,MICRO SD,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,9V,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,VSEL,
L1,WE 74404024100,1,10uH,
L2,WE 744232090,1,744232090,
L3,0603,1,L_Small,
LS1,PKM13EPYH4000-A0,1,78dB 4kHz,
"Q1, Q2, Q3",SOT-23,3,2N7002,
"R1, R11, R13, R14, R18, R2, R21, R24, R25, R26, R27, R32, R35, R36, R37, R39, R40, R41, R45, R46, R47, R48, R49, R50, R51, R52, R53",0603,27,10K 1%,
"R10, R22, R30, R31, R33, R34, R8, R9",0603,8,1K 1%,
"R12, R15",0603,2,2.2K 1%,
"R16, R17, R19, R20, R38, R4, R42, R43, R44, R5, R6, R7",0603,12,51R 1%,
"R23, R28",0603,2,5.1K 1%,
R29,0603,1,0R,
R3,0603,1,6K2 1%,
SW1,SW_Push_1P1T_NO_CK_KSC6xxJ,1,RST,
SW2,SW_Push_1P1T_NO_CK_KSC6xxJ,1,UP,
SW3,SW_Push_1P1T_NO_CK_KSC6xxJ,1,LEFT,
SW4,SW_Push_1P1T_NO_CK_KSC6xxJ,1,CENTER,
SW5,SW_Push_1P1T_NO_CK_KSC6xxJ,1,RIGHT,
SW6,SW_Push_1P1T_NO_CK_KSC6xxJ,1,BUTTON 1,
SW7,SW_Push_1P1T_NO_CK_KSC6xxJ,1,BUTTON 2,
SW8,SW_Push_1P1T_NO_CK_KSC6xxJ,1,DOWN,
"TP1, TP13, TP14, TP4",TestPoint_Keystone_5000-5004_Miniature,4,GND,
TP10,TestPoint_Keystone_5000-5004_Miniature,1,+3.3VA,
TP11,TestPoint_Keystone_5000-5004_Miniature,1,+5VA,
TP12,TestPoint_Keystone_5000-5004_Miniature,1,+VCORE,
TP15,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,PD2,
TP16,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,PC11,
TP17,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,PC12,
TP18,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,PB5,
TP19,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,PB4,
TP2,TestPoint_Keystone_5000-5004_Miniature,1,+5V,
TP20,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,PC13,
TP21,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,PB10,
TP3,TestPoint_Keystone_5000-5004_Miniature,1,+3.3V,
TP5,TestPoint_Keystone_5000-5004_Miniature,1,+9V,
TP6,TestPoint_Keystone_5000-5004_Miniature,1,+VSEL,
TP7,TestPoint_Keystone_5000-5004_Miniature,1,+VEXT,
TP8,TestPoint_Keystone_5000-5004_Miniature,1,+VBUS,
TP9,TestPoint_Keystone_5000-5004_Miniature,1,+3VBAT,
U1,SOT-223-3_TabPin2,1,AMS1117-5.0,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOT-23-5,1,AP3012,
U4,OLED 128x64 1.3in,1,"OLED 128x64 1.3""",
U5,SOT-23-6,1,USBLC6-2SC6,
U6,TSSOP-14_4.4x5mm_P0.65mm,1,LM324,
U7,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U8,LQFP-64_10x10mm_P0.5mm,1,STM32F411RETx,
Y1,Crystal_SMD_G8-2Pin_3.2x1.5mm_HandSoldering,1,32.768kHz,
Y2,Crystal_SMD_EuroQuartz_MT-4Pin_3.2x2.5mm_HandSoldering,1,8MHz  20Pppm 18pF,
