"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MH1,MH3,MH4,MH2";"Mounting_Hole_Drill-3.3mm_Clerance-7mm";4;"Mounting_Hole_NPTH";;;
2;"R38,R44,R10,R20,R17,R49,R48,R18";"R_0402_5MIL_DWS";8;"2.2k/R0402";;;
3;"R12,R13";"R_0402_5MIL_DWS";2;"150R/R0402";;;
4;"R14,R31,R28,R25,R24,R27,R26,R29,R30,R15";"R_0402_5MIL_DWS";10;"270R/R0402";;;
5;"FID5,FID6,FID4";"Fiducial1x3";3;"Fiducial";;;
6;"FID2,FID3,FID1";"Fiducial1x3_Paste";3;"Fiducial";;;
7;"C17,C34,C37,C18,C39,C35";"C_0603_5MIL_DWS";6;"22uF/6.3V/20%/X5R/C0603";;;
8;"C25,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C14,C13,C44,C46,C26,C41,C49";"C_0402_5MIL_DWS";18;"100nF/10V/20%/X5R/C0402";;;
9;"AUDIO1";"SCJ325P00XG0B02G";1;"PJ-3.5-365-5P";;;
10;"Q2,Q4";"SOT23";2;"BC817-40(SOT23)";;;
11;"C11,C12";"C_0402_5MIL_DWS";2;"2.2uF/6.3V/20%/X5R/C0402";;;
12;"C15,C16";"C_0402_5MIL_DWS";2;"18pF/50V/5%/C0G/C0402";;;
13;"Q1,Q5";"TSX-3.2x2.5mm_GND(3)";2;"Q12MHz/20pF/10ppm/4P/3.2x2.5mm";;;
14;"R1,R45,R23,R46,R19";"R_0402_5MIL_DWS";5;"10k/R0402";;;
15;"R2,R43";"R_0402_5MIL_DWS";2;"NA(10k/R0402)";;;
16;"R6,R8";"R_0402_5MIL_DWS";2;"100R/R0402";;;
17;"R4,R5";"R_0402_5MIL_DWS";2;"27R/R0402";;;
18;"U1";"SO-8_208mil";1;"W25Q128JVSIQ ";;;
19;"U2";"QFN56_7x7_Pitch_0.4mm";1;"RP2040(QFN-56_7x7mm_P0.4mm)";;;
20;"BOOT1";"T1102D_6x6";1;"T1102D(6x6x9.5mm)";;;
21;"SWD1";"HN1x3";1;"NA(HN1x3)";;;
22;"R9,R16";"R_1206_5MIL_DWS";2;"47R/R1206";;;
23;"DVI1";"HDMI-SWM-19_Paste";1;"HDMI-SWM-19";;;
24;"SPK_L1,SPK_R1";"Speaker_QMB-09B-03_1-Plus_2-Minus";2;"Speaker_QMB-09B-03(1.5-5.0V_2.7kHz_F9.0mm*H5.5mm)";;;
25;"D2,D3";"SOD-123_1C-2A_KA";2;"1N4148W/SOD123";;;
26;"C40,C38,C32,C33";"C_0603_5MIL_DWS";4;"NA(22uF/6.3V/20%/X5R/C0603)";;;
27;"R35";"R_0402_5MIL_DWS";1;"1.05k/1%/R0402";;;
28;"USB_HOST1-2,USB_HOST3-4";"USB_TWO_LEVEL";2;"USBB1-FRWH-4A(USB-Ax2)";;;
29;"LED_USB4,LED_USB3,LED_USB1,LED_USB2";"LED_0603_KA";4;"LED/GREEN/0603";;;
30;"U6";"SOT-563-6";1;"TPS62A02ADRLR(SOT-563-6)";;;
31;"R40,R42,R41";"R_0402_5MIL_DWS";3;"470k/R0402";;;
32;"C27,C28";"C_0805_5MIL_DWS";2;"NA(47uF/6.3V/20%/X5R/C0805)";;;
33;"C29,C19,C30";"C_0805_5MIL_DWS";3;"47uF/6.3V/20%/X5R/C0805";;;
34;"R22,R21";"R_0402_5MIL_DWS";2;"NA(2.2k/R0402)";;;
35;"PWR_ON/OFF1";"SS-12D11G5";1;"SS-12D11G5";;;
36;"EXT1";"GBH-254-SMT-14";1;"B-V-14-LF";;;
37;"R33,R32,R7,R3";"R_0402_5MIL_DWS";4;"5.1k/1%/R0402";;;
38;"U5";"SOT-23-5";1;"BL4054B-42TPRN(SOT23-5)";;;
39;"CHARGING1";"LED_0603_KA";1;"LED/YELLOW/0603";;;
40;"D7,D8,D5,D1,D9";"SMA-KA";5;"1N5822/SS34/SMA";;;
41;"UEXT1";"GBH-254-SMT-10";1;"P-B-V-10-LF";;;
42;"GND1";"TEST_PAD40x70_SQUARE";1;"TESTPAD";;;
43;"C31";"C_0603_5MIL_DWS";1;"1uF/10V/10%/X5R/C0603";;;
44;"R50";"R_0402_5MIL_DWS";1;"47k/R0402";;;
45;"FET2,FET1";"SOT23";2;"NA(BSS138(SOT23-3))";;;
46;"U4";"SSOP28_10x4mm_Pitch_0.64mm";1;"FE1.1s_USB2.0-HUB";;;
47;"PGM/RUN1";"SWITCH_SLIDE_IS-1390-G_TR";1;"SWITCH SLIDE IS-1390-G TR";;;
48;"U7";"SOT23-6";1;"MT3608(SOT23-6)";;;
49;"C43,C45,C42";"C_0603_5MIL_DWS";3;"10uF/6.3V/20%/X5R/C0603";;;
50;"U3";"SOT23-6";1;"CH217K(SOT23-6L)";;;
51;"R51";"R_0402_5MIL_DWS";1;"100k/R0402";;;
52;"USB-PGM1,USB-PWR1";"USB2.0_TYPE-C(A40-00119-A52-12)_Paste";2;"USB-C-16P-F(A40-00119-A52-12)";;;
53;"FET3";"SOT23";1;"WPM2015-3/TR";;;
54;"R47";"R_0402_5MIL_DWS";1;"2.7k/1%/R0402";;;
55;"C47,C48";"C_0402_5MIL_DWS";2;"NA(27pF/50V/5%/C0G/C0402)";;;
56;"BAT1";"LIPO_BAT_VERTICAL_DW02S";1;"DW02S";;;
57;"R37";"R_0402_5MIL_DWS";1;"49.9k/1%/R0402";;;
58;"R36,R39";"R_0402_5MIL_DWS";2;"220k/R0402";;;
59;"D6";"SOD-123_1C-2A_KA";1;"1N5819S4/SOD123";;;
60;"C36";"C_0402_5MIL_DWS";1;"NA(120pF/50V/5%/C0G/C0402)";;;
61;"R11";"R_0402_5MIL_DWS";1;"33k/R0402";;;
62;"D4";"SMA-KA";1;"NA(1N5822/SS34/SMA)";;;
63;"R34";"R_0402_5MIL_DWS";1;"8.25k/1%/R0402";;;
64;"L1";"YS75_7X8MM";1;"2.2uH/3A/YS75/7x8";;;
65;"PWR_LED1";"LED_0603_KA";1;"LED/RED/0603";;;
66;"BAT2";"PH2.0-2PWB";1;"NA(PH2.0-2PWB)";;;
67;"L2";"CD32";1;"1.0uH/2.5A/DCR=30mR/20%/3.00x3.00x1.50mm/CD32(SWPA3015S1R0MT)";;;
68;"HCEC1,HSDA1,HSCL1,HHPD1,+5V_USB1,GND2,VBUS1,+5V1,+1V1,VBAT1,VBUS_PWR1,+3.3V1";"TESTPAD_40-ROUND";12;"TESTPAD";;;
