"RefDes","Value","Name","Pattern","Quantity"
"C1","0.1 uF","CAP_0603","CAP_0603","1"
"C2","1 uF","CAP_0603","CAP_0603","1"
"C3","0.1 uF","CAP_0603","CAP_0603","1"
"C4","100n","CAP_0603","CAP_0603","1"
"C5","10 uF","CAP_0603","TC_3528","1"
"I2C","","CON2F","HDR-1x2T/2.54/5x2","1"
"PINS","","CON3F","HDR-1x3T/2.54/7x2","1"
"PRG","","DF4-8DP-2C","Prg connecter","1"
"R1","56k","RES_0603","RES_0603","1"
"R2","56k","R0603","RES_0603","1"
"R3","10k","RES_0603","RES_0603","1"
"R4","10k","RES_0603","RES_0603","1"
"R5","10k","RES_0603","RES_0603","1"
"R6","3.3k","RES_0603","RES_0603","1"
"R7","3.3k","RES_0603","RES_0603","1"
"RAW","","CON2F","HDR-1x2T/2.54/5x2","1"
"U1","","XC6206","SOT23","1"
"U2","","ATSHA204","SOT23","1"
"U3","","ATMEGA48_TQFP","QFP-32/9x9x0.8","1"
"U4","","M25P40","SOIC-8/150mil","1"
"U5","","NRF24","HDR-2x4T/2.54x2.54/10x5","1"
"U6","","Si7021","DFN-6R/3x3x0.95","1"
"VCC","","CON2F","HDR-1x2T/2.54/5x2","1"
"","","","","23"
