"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,";"buzzardLabel";6;"";;;
2;"R1,R2";"0603R";2;"10k";;;
3;"C1,C2";"0603C";2;"0.1uF";;;
4;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
5;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
6;"K1,K3";"easyC-connector";2;"easyC-SMD";;;
7;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
8;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
9;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
10;"K4";"DSHP03TS-S";1;"DSHP03TS-S";;;
11;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
12;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
13;"G***";"Symbol-Front-Magnetic-Field";1;"LOGO";;;
14;"U1";"SOT-23-3";1;"SI7201-B-06-IV";;;
15;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
16;"";"Version1.0.0.";1;"";;;
